aX,aY,aZ,gX,gY,gZ
-9.150,8.770,-13.440,-80.938,79.563,-52.875
-11.500,8.000,-13.950,-95.750,89.688,-17.125
-11.500,8.000,-13.950,-76.375,69.188,-2.063
-11.280,6.550,-12.880,-76.375,69.188,-2.063
-9.590,6.140,-10.840,-39.000,29.375,2.125
-9.590,6.140,-10.840,-12.438,-12.438,6.687
-7.610,7.710,-8.820,-12.438,-12.438,6.687
-5.250,9.510,-7.620,-7.437,-32.438,7.500
-2.390,12.810,-5.090,-17.312,-22.875,-11.438
-2.390,12.810,-5.090,-38.438,18.062,-29.187
-3.430,12.410,-6.630,-38.438,18.062,-29.187
-6.430,10.930,-10.020,-63.250,84.375,-30.625
-6.430,10.930,-10.020,-87.875,144.750,-19.062
-9.770,10.960,-12.950,-87.875,144.750,-19.062
-10.040,11.090,-11.920,-85.250,147.062,-11.688
-9.130,11.260,-9.990,-58.313,87.625,-29.312
-9.130,11.260,-9.990,-30.937,24.750,-58.625
-8.350,11.290,-8.190,-30.937,24.750,-58.625
-8.350,8.910,-7.040,4.062,-17.312,-89.813
-8.350,8.910,-7.040,34.625,-49.313,-104.188
-9.030,6.080,-6.570,34.625,-49.313,-104.188
-9.300,7.330,-7.200,30.062,-75.250,-91.875
-10.680,8.930,-8.230,2.063,-63.125,-56.125
-10.680,8.930,-8.230,-23.000,-19.562,-34.438
-13.360,11.630,-10.280,-23.000,-19.562,-34.438
-14.830,12.310,-11.410,-35.750,12.313,-25.062
-14.830,12.310,-11.410,-35.750,12.313,-25.062
-14.600,13.170,-11.630,-34.125,20.875,-21.562
-12.620,13.550,-10.740,-33.188,14.625,-22.375
-10.020,12.350,-8.440,-33.938,7.187,-13.313
-10.020,12.350,-8.440,-27.750,-4.562,-10.875
-9.180,11.440,-7.760,-27.750,-4.562,-10.875
-8.890,10.420,-8.120,-18.250,-9.000,-12.875
-8.890,10.420,-8.120,-18.250,-9.000,-12.875
-8.560,9.680,-7.960,-7.875,-6.187,-15.438
-6.920,10.150,-7.510,-6.625,0.312,-10.625
-7.020,10.400,-8.200,-8.625,24.250,-5.812
-7.020,10.400,-8.200,-8.625,24.250,-5.812
-7.040,10.650,-8.880,-8.313,48.250,-1.562
-7.040,10.650,-8.880,-9.438,58.750,4.062
-7.000,11.080,-9.550,-9.438,58.750,4.062
-7.130,12.100,-10.600,-9.125,57.000,7.562
-6.470,12.090,-10.490,-4.937,43.125,4.250
-5.890,11.850,-10.550,-0.562,26.750,-1.875
-5.890,11.850,-10.550,-0.562,26.750,-1.875
-5.340,12.230,-10.640,5.937,12.000,-7.375
-5.340,12.230,-10.640,11.063,2.313,-9.063
-3.790,12.030,-10.320,11.063,2.313,-9.063
-3.480,12.610,-10.240,9.438,-1.875,-0.562
-3.490,12.710,-10.290,1.187,1.625,9.250
-3.920,12.490,-10.260,-5.562,12.063,16.375
-3.920,12.490,-10.260,-5.562,12.063,16.375
-4.440,11.990,-10.370,-10.438,22.625,18.125
-4.440,11.990,-10.370,-11.500,31.875,15.000
-4.720,11.330,-10.520,-11.500,31.875,15.000
-5.000,11.280,-10.580,-6.562,35.188,7.937
-4.670,11.380,-10.470,-2.375,31.750,4.375
-4.670,11.380,-10.470,-2.125,25.125,3.438
-4.460,11.220,-10.330,-2.125,25.125,3.438
-4.310,10.990,-10.420,-3.750,21.437,2.938
-4.310,10.990,-10.420,-3.750,21.437,2.938
-4.230,10.970,-10.320,-3.438,19.500,2.313
-4.230,10.970,-10.320,-7.937,23.625,6.062
-3.590,11.550,-9.790,-7.937,23.625,6.062
-3.640,11.680,-9.960,-11.438,31.437,7.937
-4.110,11.690,-10.230,-11.063,38.188,6.062
-4.110,11.690,-10.230,-9.250,39.813,6.250
-4.490,11.680,-10.180,-9.250,39.813,6.250
-4.490,11.680,-10.180,-3.000,35.938,7.937
-5.020,10.790,-10.910,-3.000,35.938,7.937
