aX,aY,aZ,gX,gY,gZ
-1.380,11.150,-11.620,-46.188,49.500,-18.062
-0.570,12.240,-12.680,-32.938,40.500,-8.063
-0.570,12.240,-12.680,-15.813,38.250,11.875
-0.710,12.650,-13.170,-15.813,38.250,11.875
-1.290,13.280,-12.690,-10.500,26.875,24.687
-1.290,13.280,-12.690,-1.250,18.937,20.375
-1.450,13.160,-11.580,-1.250,18.937,20.375
-1.450,11.020,-12.080,4.187,18.625,7.062
-1.450,11.020,-12.080,4.187,18.625,7.062
-1.800,11.040,-12.050,6.625,9.563,-4.250
-1.800,11.610,-11.660,9.063,-6.437,-16.750
-1.600,12.220,-11.750,8.813,-16.625,-30.937
-1.600,12.220,-11.750,8.813,-16.625,-30.937
-1.140,12.820,-12.910,17.562,-21.750,-41.625
-1.140,12.820,-12.910,28.062,-24.562,-45.000
-0.930,12.470,-13.340,28.062,-24.562,-45.000
-1.120,12.270,-13.390,36.250,-25.937,-36.188
-1.400,12.170,-13.510,42.438,-23.250,-16.875
-1.400,12.170,-13.510,42.438,-23.250,-16.875
-1.590,12.040,-13.480,44.625,-23.125,7.250
-2.370,11.610,-13.270,46.375,-24.875,27.812
-2.370,11.610,-13.270,46.375,-24.875,27.812
-2.740,11.550,-12.880,45.000,-21.187,37.750
-2.740,11.550,-12.880,39.313,-13.688,39.438
-2.650,12.110,-13.160,39.313,-13.688,39.438
-2.480,12.410,-13.690,39.813,-6.000,34.875
-2.580,12.970,-14.070,42.750,-3.250,30.687
-2.580,12.970,-14.070,40.813,-3.125,23.437
-2.730,13.080,-13.820,40.813,-3.125,23.437
-1.830,12.820,-14.970,35.375,2.625,18.375
-1.830,12.820,-14.970,38.063,5.500,23.250
-1.620,13.100,-15.140,38.063,5.500,23.250
-1.420,13.170,-15.260,44.938,6.750,32.375
-1.580,13.150,-15.090,46.688,1.937,38.250
-1.580,13.150,-15.090,38.375,-9.875,35.563
-2.210,11.990,-14.930,38.375,-9.875,35.563
-2.110,10.990,-14.800,32.063,-19.937,27.500
-2.110,10.990,-14.800,32.063,-19.937,27.500
-1.860,10.120,-14.530,25.000,-30.437,22.062
-1.790,9.750,-13.850,24.500,-36.750,25.375
-1.790,9.750,-13.850,23.125,-31.625,38.625
-1.470,11.160,-13.860,23.125,-31.625,38.625
-1.950,12.120,-13.550,18.062,-15.813,58.938
-1.950,12.120,-13.550,18.062,-15.813,58.938
-2.230,12.890,-13.520,1.187,3.500,68.188
-2.300,12.950,-13.780,-18.000,20.125,59.875
-2.300,12.950,-13.780,-18.000,20.125,59.875
-2.190,11.670,-12.710,-29.562,31.375,42.750
-1.580,10.730,-12.240,-44.063,38.813,19.062
-1.580,10.730,-12.240,-56.750,42.938,0.500
-0.610,9.530,-12.160,-56.750,42.938,0.500
-0.110,8.270,-11.290,-53.875,45.188,-6.125
-0.110,8.270,-11.290,-53.875,45.188,-6.125
0.040,8.390,-10.730,-35.438,37.313,-5.250
0.000,9.090,-11.460,-18.437,34.563,-1.187
-0.300,10.490,-12.860,-14.313,37.500,6.687
-0.300,10.490,-12.860,-14.313,37.500,6.687
-1.130,12.360,-12.550,-15.938,35.750,8.438
-1.130,12.360,-12.550,-26.250,28.687,-3.688
-1.210,13.170,-12.070,-26.250,28.687,-3.688
-0.520,12.060,-12.390,-44.563,25.375,-19.937
0.020,10.430,-13.140,-44.688,15.500,-23.625
-0.280,9.470,-11.200,-24.687,-5.312,-16.625
-0.280,9.470,-11.200,-24.687,-5.312,-16.625
-0.610,8.630,-9.440,-17.062,-26.062,-11.063
-0.610,8.630,-9.440,-22.562,-18.187,-8.063
-0.410,7.750,-9.320,-22.562,-18.187,-8.063
0.190,7.700,-10.270,-25.000,15.000,2.750
0.190,7.700,-10.270,-23.125,39.000,18.812
0.150,9.570,-11.410,-23.125,39.000,18.812
0.250,11.220,-11.760,-15.313,48.813,27.625
0.250,11.220,-11.760,-15.313,48.813,27.625
0.100,12.430,-11.640,-10.188,36.813,28.875
-0.030,13.230,-12.030,-12.563,13.000,20.437
-0.030,13.230,-12.030,-12.563,13.000,20.437
0.090,13.350,-11.180,-16.625,-17.312,5.000
0.390,12.580,-10.070,-22.125,-55.063,-12.688
0.490,11.120,-9.320,-19.062,-83.063,-27.375
0.490,11.120,-9.320,-19.062,-83.063,-27.375
0.210,10.450,-8.720,-12.313,-99.750,-31.125
0.210,10.450,-8.720,-12.313,-99.750,-31.125
-0.470,10.280,-8.370,-3.375,-78.938,-18.562
-0.800,10.210,-8.610,2.438,-44.188,-5.500
-1.320,10.280,-8.910,-5.687,-13.438,5.187
-1.320,10.280,-8.910,-9.125,7.625,11.188
-2.180,12.450,-9.120,-9.125,7.625,11.188
-2.160,13.650,-9.560,-2.938,12.438,15.688
-2.160,13.650,-9.560,-2.938,12.438,15.688
-2.080,14.890,-10.560,-3.188,5.750,18.875
-2.080,14.890,-10.560,-3.188,5.750,18.875
-1.500,15.420,-10.650,-1.687,-6.625,19.062
-0.350,13.770,-8.220,-3.063,-24.500,15.563
0.140,12.190,-7.540,-7.437,-36.188,10.438
0.140,12.190,-7.540,-7.437,-36.188,10.438
0.520,10.770,-6.320,-0.562,-31.187,9.188
0.520,10.770,-6.320,10.063,1.937,16.562
0.540,10.030,-5.560,10.063,1.937,16.562
-0.370,12.270,-8.660,14.563,45.500,31.687
-0.820,14.010,-10.500,14.063,72.750,38.313
-0.820,14.010,-10.500,9.500,73.063,27.000
-1.060,15.410,-11.490,9.500,73.063,27.000
-0.620,15.730,-11.420,1.937,50.500,5.625
-0.620,15.730,-11.420,1.937,50.500,5.625
-0.020,13.820,-9.570,-1.125,19.687,-11.938
0.230,12.330,-7.800,1.562,2.688,-21.875
0.230,12.330,-7.800,7.750,6.250,-21.812
0.410,11.080,-5.700,7.750,6.250,-21.812
0.160,10.480,-4.920,10.188,28.125,-16.062
0.160,10.480,-4.920,10.188,28.125,-16.062
0.370,9.910,-5.230,6.000,59.500,-8.125
0.370,9.910,-5.230,-6.562,78.188,-0.437
0.240,10.230,-6.190,-6.562,78.188,-0.437
0.140,11.160,-7.420,-8.563,80.000,2.438
0.080,11.610,-7.610,-1.625,71.750,-0.062
0.080,11.610,-7.610,-3.000,63.750,-1.062
-0.390,12.370,-8.450,-3.000,63.750,-1.062
-0.340,12.950,-8.790,-0.562,56.188,-1.250
-0.340,12.950,-8.790,-0.562,56.188,-1.250
-0.220,12.780,-8.930,2.500,40.125,-4.750
-0.660,12.020,-8.000,1.687,13.250,-10.188
-0.660,12.020,-8.000,1.687,13.250,-10.188
-0.120,11.450,-6.910,5.187,-13.625,-20.687
0.340,11.010,-6.090,4.312,-18.875,-29.437
0.340,11.010,-6.090,-3.063,-3.938,-28.625
0.350,10.640,-5.860,-3.063,-3.938,-28.625
0.780,11.150,-6.970,-6.375,13.563,-24.750
0.780,11.150,-6.970,-6.375,13.563,-24.750
0.660,11.660,-7.640,0.062,20.250,-20.062
0.520,12.230,-8.320,12.375,21.687,-14.500
0.410,12.690,-9.340,15.563,23.875,-7.437
0.410,12.690,-9.340,15.563,23.875,-7.437
-0.010,12.870,-10.310,15.938,19.437,-3.125
-0.010,12.870,-10.310,15.938,19.437,-3.125
-0.080,12.580,-10.140,15.000,0.875,-3.750
-0.130,12.310,-9.400,15.250,-24.687,-8.875
-0.090,11.900,-9.020,13.563,-38.000,-13.313
0.120,11.250,-8.790,9.750,-38.375,-14.500

0.140,11.470,-9.410,8.688,-32.438,-11.688
0.140,11.470,-9.410,8.688,-32.438,-11.688
0.130,11.960,-9.940,12.563,-27.562,-6.812
0.170,12.470,-10.130,16.062,-28.875,-2.000
-0.220,12.830,-10.530,17.562,-32.063,2.563
-0.220,12.830,-10.530,19.187,-37.063,3.813
-0.420,12.610,-10.330,19.187,-37.063,3.813
-0.700,12.320,-10.340,21.125,-40.313,3.063
-0.700,12.320,-10.340,21.125,-40.313,3.063
-0.840,11.920,-10.440,20.750,-40.750,1.125
-0.830,11.530,-9.380,18.562,-42.813,-1.125
-0.660,11.490,-9.090,14.063,-39.000,-2.438
-0.660,11.490,-9.090,14.063,-39.000,-2.438
-0.520,11.290,-9.270,5.875,-26.312,-2.438
-0.630,11.770,-10.470,-0.375,-9.938,1.250
-0.630,11.770,-10.470,-0.375,-9.938,1.250
-0.850,12.150,-11.030,-2.188,2.438,6.187
-0.890,12.150,-11.300,-3.313,9.063,8.250
-0.890,12.150,-11.300,-3.313,9.063,8.250
-0.810,12.210,-11.220,-4.312,12.063,7.937
-0.650,11.680,-10.530,-5.687,13.438,6.687
-0.650,11.680,-10.530,-5.687,13.438,6.687
-0.400,11.440,-10.530,-7.375,17.250,5.562
-0.310,11.420,-10.460,-7.687,19.625,6.000
-0.310,11.420,-10.460,-7.687,19.625,6.000
-0.190,11.360,-10.350,-5.000,17.500,6.562
-0.060,11.350,-10.280,-1.812,13.750,7.562
-0.150,11.450,-10.160,0.625,7.187,9.375
-0.150,11.450,-10.160,0.625,7.187,9.375
-0.260,11.500,-10.040,1.937,-1.125,9.375
-0.260,11.500,-10.040,1.000,-7.062,6.875
-0.490,11.380,-10.220,1.000,-7.062,6.875
-0.290,11.390,-10.760,-0.625,-10.313,3.313
-0.280,11.530,-10.460,0.500,-11.688,1.562
0.010,0.690,0.030,3.500,-10.313,1.500
0.010,0.690,0.030,3.500,-10.313,1.500
0.080,0.650,-0.120,4.000,-7.125,0.500
0.080,0.650,-0.120,4.000,-7.125,0.500
0.120,0.760,-0.150,4.750,-3.375,-0.750
0.120,0.760,-0.150,5.437,-0.812,-1.187
0.120,0.760,-0.040,5.437,-0.812,-1.187
0.110,0.490,0.150,6.125,-1.875,-1.812
0.000,0.770,0.020,5.500,-4.687,-1.375
0.000,0.770,0.020,5.500,-4.687,-1.375
-0.090,0.810,0.010,3.313,-3.188,0.875
-0.090,0.810,0.010,3.313,-3.188,0.875
-0.150,0.920,-0.230,-0.625,-0.875,2.063
-0.150,0.920,-0.230,-5.187,3.000,2.375
